0;Whistle;Wild Ones;Flo Rida;2012-06-22;3:44
1;I'm an Albatraoz;I'm an Albatraoz;AronChupa, Little Sis Nora;2014-08-08;2:46
2;La Notte Dei Desideri;Ora (New Deluxe Version);Jovanotti;2011-11-29;3:27
3;Celebrate (From the Original Motion Picture "Penguins of Madagascar");Globalization;Pitbull;2014-11-21;3:12
4;The Monster;The Marshall Mathers LP2;Eminem, Rihanna;2013-11-05;4:10
5;It's a Long Way to the Top (If You Wanna Rock 'N' Roll);High Voltage;AC/DC;1976-05-14;5:1
6;Believer;Evolve;Imagine Dragons;2017-06-23;3:24
7;Bones;Bones;Imagine Dragons;2022-03-11;2:45
8;Enemy (with JID) - from the series Arcane League of Legends;Enemy (with JID) [from the series Arcane League of Legends];Imagine Dragons, JID, Arcane, League of Legends;2021-10-28;2:53
9;El Mismo Sol;Eterno Agosto;Alvaro Soler;2016-07-15;2:59
10;Last Friday Night (T.G.I.F.);Teenage Dream: The Complete Confection;Katy Perry;2012-03-12;3:50
11;lady;sangiovanni;sangiovanni;2021-05-13;2:36
12;Poker Face;The Fame;Lady Gaga;2008-01-01;3:57
13;Rap God;The Marshall Mathers LP2 (Deluxe);Eminem;2013-11-05;6:3
14;Brucia la terra - From "The Godfather";Cinema (Deluxe Edition);Andrea Bocelli;2015-10-23;4:16
15;Diavolo In Me;Oro Incenso & Birra - Zucchero Sugar Fornaciari;Zucchero;1989-01-01;4:3
16;X Colpa Di Chi?;SpiritoDiVino;Zucchero;1995-01-01;3:58
17;Eh...Già;Vivere O Niente;Vasco Rossi;2011-01-01;3:44
18;Come Nelle Favole;VASCONONSTOP;Vasco Rossi;2016-11-11;4:13
19;Ti dedico il silenzio;Peter Pan;Ultimo;2018-02-09;3:54
20;Rondini Al Guinzaglio;Colpa Delle Favole;Ultimo;2019-04-05;4:0
21;Sexy And I Know It;Sorry For Party Rocking;LMFAO;2011-01-01;3:19
22;Party Rock Anthem;Sorry For Party Rocking;LMFAO, Lauren Bennett, GoonRock;2011-01-01;4:22
23;La Danza Delle Streghe - Corto Mix;Dottor Jekyll & Mister Dj;Gabry Ponte;2004-01-01;4:51
24;Figli di pitagora;Little tony non finisce qui (Sanremo 2008);Little Tony;2012-03-30;3:43
25;La La La;Hotel Cabana (Deluxe Version);Naughty Boy, Sam Smith;2013-01-01;3:42
26;Thunderstruck;The Razors Edge;AC/DC;1990-09-24;4:52
27;You Spin Me Round (Like a Record);Evolution: The Hits;Dead Or Alive;1983;3:15
28;Che Ne Sanno I 2000;Che Ne Sanno I 2000 (feat. Danti);Gabry Ponte, Danti;2016-07-01;3:54
29;Maracanã;Mercurio - 5 Stars Edition;Emis Killa;2014-06-10;3:35
30;Can't Hold Us (feat. Ray Dalton);The Heist;Macklemore & Ryan Lewis, Macklemore, Ryan Lewis, Ray Dalton;2012-10-09;4:18
31;Timber (feat. Ke$ha);Global Warming: Meltdown (Deluxe Version);Pitbull, Kesha;2012;3:24
